ordinal,prompt_tokens,cached_tokens,uncached_prompt_tokens,completion_tokens,finish_reason,client_ttft_ms,client_decode_interval_ms,client_tpot_ms,client_total_ms,output_delta_events,cache_hit_ratio,response_id_consistent
956,859,832,27,128,length,"14,063.910628",225.256203,1.773671,"14,289.182095",2,0.968568102,true
957,250281,245952,4329,128,length,"13,406.217991","1,071.158698",8.434320,"14,477.382417",25,0.982703441,true
958,54536,38912,15624,128,length,"13,335.402284","1,695.034902",13.346732,"15,030.442690",27,0.713510342,true
959,80247,57536,22711,128,length,"13,044.645070","1,552.913342",12.227664,"14,597.564428",12,0.716986305,true
960,1601,0,1601,128,length,"12,906.955029","1,168.564802",9.201298,"14,075.951962",37,0.000000000,true
961,6703,832,5871,128,length,"13,064.046488","1,782.663753",14.036722,"14,847.304677",58,0.124123527,true
962,7994,0,7994,128,length,"13,013.780976","1,843.384796",14.514841,"14,857.598127",62,0.000000000,true
963,11832,1152,10680,128,length,"13,068.853978","1,734.149231",13.654718,"14,804.076592",59,0.097363083,true
964,2761,0,2761,128,length,"13,037.758109","2,089.706972",16.454386,"15,127.775515",75,0.000000000,true
965,99412,0,99412,128,length,"15,132.831102","1,587.824600",12.502556,"16,721.727582",60,0.000000000,true
966,3583,2816,767,128,length,"13,066.499242","1,519.906867",11.967771,"14,586.412061",26,0.785933575,true
967,5704,0,5704,128,length,"13,034.973416","1,595.009228",12.559128,"14,630.228694",55,0.000000000,true
968,48457,31680,16777,128,length,"15,329.828415","1,504.588773",11.847156,"16,834.758438",54,0.653775512,true
969,172,0,172,128,length,"15,108.852275","1,474.244876",11.608227,"16,583.355105",53,0.000000000,true
970,75824,58112,17712,128,length,"16,603.757523",0.000000,0.000000,"16,603.763219",1,0.766406415,true
971,9369,0,9369,128,length,"14,862.632723","2,026.296823",15.955093,"16,889.417805",71,0.000000000,true
972,1799,0,1799,128,length,"14,863.753627","1,850.116684",14.567848,"16,714.487371",65,0.000000000,true
973,76424,48128,28296,128,length,"15,230.000982","1,896.319893",14.931653,"17,127.646869",67,0.629749817,true
974,428,0,428,128,length,"15,169.090530","1,583.442969",12.468055,"16,752.863869",56,0.000000000,true
975,13968,11520,2448,128,length,"14,837.535903","1,771.243096",13.946796,"16,609.447164",63,0.824742268,true
976,71702,15296,56406,128,length,"16,627.759839","1,361.253508",10.718532,"17,989.031843",45,0.213327383,true
977,8746,832,7914,128,length,"15,602.880735","1,387.810402",10.927641,"17,030.910209",51,0.095129202,true
978,16191,2816,13375,128,length,"15,332.951317","1,480.449401",11.657082,"16,814.038674",24,0.173923785,true
979,71117,60224,10893,128,length,"16,930.274161",0.000000,0.000000,"16,930.280593",1,0.846829872,true
980,56463,56000,463,128,length,"15,539.703676","1,124.488135",8.854237,"16,664.197187",18,0.991799940,true
981,73410,15296,58114,128,length,"17,199.982778","1,758.375644",13.845478,"18,959.515710",61,0.208363983,true
982,16785,15744,1041,128,length,"16,507.508610","1,961.797034",15.447221,"18,470.130866",67,0.937980340,true
983,252277,250240,2037,128,length,"17,041.253835","1,063.910678",8.377249,"18,105.170497",22,0.991925542,true
984,4374,4160,214,128,length,"16,278.331677","1,846.164015",14.536725,"18,124.970351",64,0.951074531,true
985,76519,45376,31143,128,length,"17,210.324259","1,139.787221",8.974703,"18,350.116536",34,0.593003045,true
986,64792,63808,984,128,length,"16,822.372206","1,435.709208",11.304797,"18,258.086726",26,0.984812940,true
987,71255,60224,11031,128,length,"18,836.749904",0.000000,0.000000,"18,836.755728",1,0.845189811,true
988,64833,63808,1025,128,length,"16,999.482144","1,603.225926",12.623826,"18,603.694797",40,0.984190150,true
989,43999,22080,21919,128,length,"16,950.715780","1,838.791962",14.478677,"18,789.804608",64,0.501829587,true
990,2698,0,2698,128,length,"17,052.422490","1,732.455394",13.641381,"18,785.218111",61,0.000000000,true
991,79158,69952,9206,128,length,"18,171.846334",715.250841,5.631896,"18,887.102583",14,0.883700953,true
992,31187,0,31187,128,length,"17,426.442413","2,313.953375",18.220105,"19,741.116913",82,0.000000000,true
993,58061,15040,43021,128,length,"17,953.060674","1,569.381460",12.357334,"19,523.985057",27,0.259037908,true
994,64698,63808,890,128,length,"17,764.858528","1,058.331374",8.333318,"18,823.196078",10,0.986243779,true
995,80984,71680,9304,128,length,"17,758.311473","1,409.569918",11.098976,"19,169.167064",52,0.885113109,true
996,17399,2816,14583,128,length,"17,537.266149","1,200.758089",9.454788,"18,738.030446",11,0.161848382,true
997,22980,832,22148,128,length,"19,166.950024",0.000000,0.000000,"19,166.955496",1,0.036205396,true
998,3040,0,3040,128,length,"17,664.761140","1,633.011835",12.858361,"19,298.237811",60,0.000000000,true
999,58228,15040,43188,128,length,"18,483.666323","1,461.110190",11.504805,"19,945.684776",40,0.258294978,true
1000,83215,71680,11535,128,length,"18,692.386791","1,756.490382",13.830633,"20,450.096990",63,0.861383164,true
1001,219,0,219,128,length,"18,340.050288","1,632.587832",12.855022,"19,973.082252",59,0.000000000,true
1002,64761,63808,953,128,length,"18,603.305482","1,559.786512",12.281784,"20,164.524324",36,0.985284353,true
1003,72819,62976,9843,128,length,"18,154.522690","1,535.291777",12.088912,"19,689.820451",17,0.864829234,true
1004,32673,2816,29857,128,length,"18,635.086285","1,572.835565",12.384532,"20,208.309981",58,0.086187372,true
1005,9613,3520,6093,128,length,"18,571.852905","2,143.252955",16.876008,"20,715.849642",79,0.366170810,true
1006,3006,2816,190,128,length,"18,540.377993","1,134.318382",8.931641,"19,675.509500",19,0.936793081,true
1007,58412,15040,43372,128,length,"19,270.487149","1,423.709474",11.210311,"20,694.552498",47,0.257481339,true
1008,25673,0,25673,128,length,"19,665.207699","1,684.428618",13.263217,"21,389.887005",62,0.000000000,true
