rank,kernel_count,aggregate_kernel_ms,active_union_ms,active_union_pct,category_ms,stream_count
0,351025,513378.125262,353791.926534,0.9463719302940993,"{'nccl_sync': 183205.36041, 'attention': 100404.097111, 'gemm_moe': 119769.370009, 'moe_routing': 14719.934025, 'norm_rope_quant': 7897.452104, 'memory_elementwise': 3711.275303, 'other': 83670.6363}",5
1,378625,361295.167131,350837.901498,0.93847009261554,"{'nccl_sync': 49040.447716, 'attention': 89463.855651, 'gemm_moe': 105544.54825, 'moe_routing': 9092.533837, 'norm_rope_quant': 7742.528609, 'memory_elementwise': 5418.89923, 'other': 94992.353838}",5
2,410425,352460.356039,351278.882372,0.9396496896884259,"{'nccl_sync': 14742.156296, 'attention': 97935.745352, 'gemm_moe': 111989.80271, 'moe_routing': 11654.710023, 'norm_rope_quant': 8279.487662, 'memory_elementwise': 6147.915475, 'other': 101710.538521}",5
3,416425,348065.7882,347590.062034,0.9297823191749677,"{'nccl_sync': 13570.373335, 'attention': 97166.073211, 'gemm_moe': 110023.294699, 'moe_routing': 11600.156425, 'norm_rope_quant': 8374.373685, 'memory_elementwise': 6135.915501, 'other': 101195.601344}",5
