name,short_name,category,count,total_ms,average_us,max_us
"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)","void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)",memory_elementwise,21600,7659.904097,354.6251896759259,474.595
kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000...,norm_rope_quant,45000,4890.313284,108.67362853333334,145.249
"void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)","void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)",memory_elementwise,46800,4313.877353,92.17686651709403,2039.023
nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,gemm_moe,45000,3871.940335,86.04311855555555,2209.07
kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi642048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16oi642048i64div81_0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi642048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16oi6420...,norm_rope_quant,46800,2121.11598,45.322991025641024,57.088
"void moe::dev::routing::routingCustom::routingIndicesHistogramScoresKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess>>>(T1)","void moe::dev::routing::routingCustom::routingIndicesHistogramScoresKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::de...",moe_routing,45000,1854.030868,41.20068595555556,55.168
nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,gemm_moe,12600,955.932872,75.86768825396825,79.52
_act_quant_kernel,_act_quant_kernel,norm_rope_quant,12600,953.230094,75.65318206349205,91.457
nvjet_sm103_tss_32x256_64x6_1x4_h_bz_TNN,nvjet_sm103_tss_32x256_64x6_1x4_h_bz_TNN,gemm_moe,12600,872.771957,69.26761563492063,72.769
kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi64512i64div81_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign16oi64512i64div81____0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi64512i64div81_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign16oi64512i...,norm_rope_quant,46800,647.62113,13.838058333333333,16.736
