id,name,short_name,category,count,total_ms,avg_us,min_us,max_us
44,"void moe::dev::routing::routingInitExpertCounts<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::NoOpPostprocess>>>(T1)",routingInitExpertCounts,other,75,0.15216,2.0288,1.568,2.56
27,"void <unnamed>::fused_store_indexer_cache<__nv_bfloat16, long, (unsigned int)6, (bool)1>(<unnamed>::FusedStoreCacheParam)",fused_store_indexer_cache,other,21,0.143009,6.809952380952381,6.176,7.232
30,_get_k_and_s_triton_kernel,_get_k_and_s_triton_kernel,other,21,0.107872,5.136761904761904,4.384,7.68
17,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign16o61441_tensorptrbf16gmemalign128o614461441___True_2__0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign16o61441_tensorptrbf16gmemalign128o614461441___True_2__0,norm_rope_quant,1,0.06304,63.04,63.04,63.04
29,triton_poi_fused_mul_unsqueeze_0,triton_poi_fused_mul_unsqueeze_0,memory_elementwise,21,0.058112,2.7672380952380955,2.4,3.008
15,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)",vectorized_gather_kernel,other,1,0.048704,48.704,48.704,48.704
1,write_req_to_token_pool_triton,write_req_to_token_pool_triton,other,4,0.046688,11.672,11.424,11.936
9,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)",index_elementwise_kernel,memory_elementwise,8,0.044353,5.544125,3.072,8.672
0,alloc_extend_kernel,alloc_extend_kernel,other,4,0.02656,6.64,6.176,7.072
3,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::UnaryOpFunctor<long, (int)2, (int)1, (int)1>, at::native::Copy<long, long>>(T1, T2, T3...)",multi_tensor_apply_kernel,other,4,0.025984,6.496,5.216,7.232
