id,name,short_name,category,count,request_window_ms,raw_event_ms,avg_overlap_us
57,"void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, (int)512, (int)8, (int)160, (int)256>(CombineParams)","void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, (int)512, (int)8, (int)160, (int)256>(CombineParams)",attention,18396,166.765253,166.765253,9.0653
34,"void <unnamed>::per_token_group_quant_8bit_v2_kernel<<unnamed>::NaiveScheduler, (int)128, (int)8, __nv_bfloat16, __nv_fp8_e4m3, (bool)1, (bool)0, (bool)0, (bool)1, float>(const T4 *, T5 *, T10 *, const int *, int, int, int, int, int)","void <unnamed>::per_token_group_quant_8bit_v2_kernel<<unnamed>::NaiveScheduler, (int)128, (int)8, __nv_bfloat16, __nv_fp8_e4m3, (bool)1, (bool)0, (bool)0, (bool)1, float>(const ...",gemm_moe,103236,144.866164,144.866164,1.403252
60,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf1...,attention,36792,136.057628,136.057628,3.698022
58,nvjet_sm90_tst_128x8_64x12_2x1_v_bz_TNT,nvjet_sm90_tst_128x8_64x12_2x1_v_bz_TNT,other,18396,122.673133,122.673133,6.668468
63,"void <unnamed>::grouped_topk_single_group_kernel<(int)256>(const float *, float *, int *, const float *, long, long, long, bool, float)","void <unnamed>::grouped_topk_single_group_kernel<(int)256>(const float *, float *, int *, const float *, long, long, long, bool, float)",moe_routing,17724,115.996815,115.996815,6.544618
61,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT,other,17724,85.312511,85.312511,4.813389
91,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),nccl_sync,672,80.349997,80.349997,119.568448
67,"void <unnamed>::silu_mul_quant_varlen_kernel<(bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(<unnamed>::SiluMulQuantVarlenParams)","void <unnamed>::silu_mul_quant_varlen_kernel<(bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(<unnamed>::SiluMulQuantVarlenParams)",norm_rope_quant,17920,76.355712,76.355712,4.260921
62,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]...,memory_elementwise,18872,67.302929,67.302929,3.566285
43,"void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)1, (unsigned int)16, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)1, (bool)0, (unsigned int)132, (deep_gemm::GemmType)0, deep_gemm::epilogue::transform::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)1, (unsigned int)16, (unsigned int)16, (unsigned i...",gemm_moe,5628,62.093216,62.093216,11.03291
42,"void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)1, (unsigned int)16, (unsigned int)64, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)1, (bool)0, (unsigned int)72, (deep_gemm::GemmType)0, deep_gemm::epilogue::transform::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)1, (unsigned int)16, (unsigned int)64, (unsigned i...",gemm_moe,5600,40.578169,40.578169,7.246102
45,"void <unnamed>::fused_rope_kernel<(bool)0, (long)64, (bool)1, __nv_bfloat16, long, (unsigned int)8>(<unnamed>::FusedRopeParams)","void <unnamed>::fused_rope_kernel<(bool)0, (long)64, (bool)1, __nv_bfloat16, long, (unsigned int)8>(<unnamed>::FusedRopeParams)",norm_rope_quant,24024,39.875846,39.875846,1.659834
68,"void deep_gemm::transpose_fp32<(unsigned int)512, (unsigned int)64, (unsigned int)16, (unsigned int)17>(const float *, float *, unsigned int)","void deep_gemm::transpose_fp32<(unsigned int)512, (unsigned int)64, (unsigned int)16, (unsigned int)17>(const float *, float *, unsigned int)",gemm_moe,17920,39.188175,39.188175,2.18684
32,nvjet_sm90_tst_192x8_64x8_4x1_v_bz_splitK_TNT,nvjet_sm90_tst_192x8_64x8_4x1_v_bz_splitK_TNT,other,924,38.512493,38.512493,41.680187
88,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o2048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16o2048i64div81___Tru_0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o2048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16o2048i64d...,attention,17500,36.881502,36.881502,2.107514
55,"<unnamed>::concat_mla_absorb_q_kernel(__nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int, long, int, long, int, long, int)","<unnamed>::concat_mla_absorb_q_kernel(__nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int, long, int, long, int, long, int)",attention,18396,36.798385,36.798385,2.000347
33,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (b...",memory_elementwise,18648,30.831987,30.831987,1.653367
38,nvjet_sm90_tss_64x8_64x16_1x1_h_bz_splitK_TNT,nvjet_sm90_tss_64x8_64x16_1x1_h_bz_splitK_TNT,other,5628,30.787342,30.787342,5.470388
