mode,prompt_length,target_count,repetitions,median_duration_ms,median_critical_request_cycle_ms,median_accept_length
one_hot,8192,1,3,1776.370138,25.34832931884058,5.565217391304348
one_hot,8192,2,3,3209.642363,25.466696793650794,3.9381898454746134
one_hot,8192,4,3,4110.928285,28.094139641509436,4.2362084764278
one_hot,8192,8,3,4638.468853,32.19573,3.6403937667879323
one_hot,8192,12,3,5337.947099,34.61326261538461,3.9771882979888664
one_hot,8192,16,3,5661.928262,35.89298526845637,4.294248849958411
one_hot,8192,24,3,7192.058994,40.40220915168539,4.1101418098886215
one_hot,8192,32,3,7664.108852,45.25467701785714,4.017236806759313
one_hot,32768,1,3,1900.948157,25.9595108028169,5.408450704225352
one_hot,32768,2,3,3667.163098,26.76024888321168,4.031596840315968
one_hot,32768,4,3,4332.326635,28.90014386451613,3.488388058357051
one_hot,32768,8,3,4840.298738,33.187016083870965,3.415212936226823
one_hot,32768,12,3,5669.388361,36.484995918367346,3.607397720808269
one_hot,32768,16,3,5721.961987,36.98192992517007,3.9344734425362713
one_hot,32768,24,3,7320.170453,42.34892678488372,3.800911014028135
one_hot,32768,32,3,7680.018947,45.97684425903614,4.069603211560248
one_hot,81920,1,3,2024.123189,26.574459291666667,5.333333333333333
one_hot,81920,2,3,3574.415765,28.356937206349205,4.068126520681265
one_hot,81920,4,3,3737.294739,30.58297518032787,4.48929594309634
one_hot,81920,8,3,5075.206297,32.953729960784315,4.293803980468211
one_hot,81920,12,3,6110.605494,37.61009114012739,3.7897308975802453
one_hot,81920,16,3,6071.829879,38.95962837951807,4.185074672343661
one_hot,81920,24,3,7516.913636,45.00368589090909,4.0205686580367415
one_hot,81920,32,3,8363.396985,52.710728106666664,3.951650199882771
fixed64,8192,1,3,6070.06151,35.86113038150289,4.061070532322448
fixed64,8192,2,3,6275.644302,36.42923054761905,3.9708702529285826
fixed64,8192,4,3,6595.281726,35.70124730851064,3.9211576889852657
fixed64,8192,8,3,5878.315046,36.051610664670655,3.8634723116704643
fixed64,8192,12,3,6303.248647,37.88772051612903,3.895423234212212
fixed64,8192,16,3,6667.321866,38.80392327878788,3.986711243683037
fixed64,8192,24,3,7298.802484,43.15015198295455,4.036269836576843
fixed64,8192,32,3,7370.900532,46.39912897468354,4.117892042696573
fixed64,32768,1,3,6480.002889,40.19193307594937,3.888932749068429
fixed64,32768,2,3,6552.096599,37.9922876566265,3.8716340521062866
fixed64,32768,4,3,6880.729498,36.655868728723405,3.866883212184695
fixed64,32768,8,3,6789.683904,38.653963051136365,3.963659639306216
fixed64,32768,12,3,7180.339111,39.98195762433863,3.963400276935018
fixed64,32768,16,3,7103.163449,41.53593325433526,3.814852849107654
fixed64,32768,24,3,8200.581043,46.50879827044025,3.9006581868673957
fixed64,32768,32,3,8627.919243,47.8161683902439,3.817026796750441
fixed64,81920,1,3,7832.163689,43.397042767045455,3.728001434572797
fixed64,81920,2,3,7977.63787,41.966073162303665,3.819583383765773
fixed64,81920,4,3,7652.600492,41.09191033695652,3.6514863010739558
fixed64,81920,8,3,7257.103052,40.24219024404762,3.7692754536853315
fixed64,81920,12,3,7160.680867,41.99783577245509,3.8545812646601902
fixed64,81920,16,3,8129.311981,44.290909801075266,3.8637868992029105
fixed64,81920,24,3,8845.04165,47.773580333333335,3.7423917636918076
fixed64,81920,32,3,9091.157211,52.492834077844314,3.9057516378204427
