layout,report_type,pass_group,bin_index,timestamp_ns,relative_center_us,normalized_progress,workload_overlap_fraction,tensor_pct,dram_read_pct,sm_throughput_pct,alu_pct,fma_pct,l2_hit_pct,l2_throughput_pct,l1_hit_pct,l1_throughput_pct,ipc_active,cycles_active,ctas_launched
ordered,pms,0,91,1786590083562083872,0.352,0.003346516580468512,0.7346666666666667,0.0,30.889501259565005,11.054057507987219,9.868370607028753,0.4812779552715655,7.016767940927621,29.576799922651244,95.83333333333334,10.38517571884984,0.5646452118284483,2320.439393939394,128.0
ordered,pms,0,92,1786590083562085376,1.856,0.01764526924247034,1.0,0.0,72.44698611160446,3.2557046362623776,3.6547481580641534,0.15634739778661136,8.846371081615363,48.50179784258889,0.0,14.55359241357463,0.13752542720400576,2808.0757575757575,0.0
ordered,pms,0,93,1786590083562086880,3.36,0.03194402190447216,1.0,0.0,44.93617021276596,16.490201992832347,21.22228413965164,5.479266465917863,1.299686936723271,37.26112036497608,17.343835429196282,20.35521290790947,0.6965281564300098,2806.560606060606,0.0
ordered,pms,0,94,1786590083562088384,4.864,0.046242774566473986,1.0,0.5760225436160954,33.198581560283685,22.0499564875057,22.44415896564585,11.748373461522522,15.296000000000001,31.933875839757032,19.426987713599775,44.30141726410012,0.9310978410656868,2770.7272727272725,0.0
ordered,pms,0,95,1786590083562089856,6.336,0.06023729844843322,1.0,45.827623924227126,35.87319243604004,30.23582864560796,22.440381749122555,10.272128467714795,2.0032414910858996,24.200160671840187,17.51193355600773,74.65443050146642,1.2772155634466542,2387.2954545454545,0.0
ordered,pms,0,96,1786590083562091360,7.84,0.07453605111043504,1.0,33.0691053471623,32.28682079013862,32.291367048485974,23.47709366134827,18.88934007861981,14.501121076233185,32.16151248482026,19.799044638445064,63.36649577855608,1.3637984987747835,2544.3863636363635,0.0
ordered,pms,0,97,1786590083562092864,9.344,0.08883480377243687,1.0,39.0607744647501,36.015194187394975,25.982033652761448,20.16493890491967,8.199743507534466,2.978211221529535,24.018433638074082,16.966075558982265,66.8952537019225,1.0968918410828423,2417.878787878788,0.0
ordered,pms,0,98,1786590083562094368,10.848,0.10313355643443871,1.0,40.11623572858069,32.53831440243701,36.84879033414188,25.81786486377998,20.838709307459848,9.747208885289524,32.0141065830721,19.57920529418007,65.72192881350101,1.5563063472169243,2502.409090909091,0.0
ordered,pms,0,99,1786590083562095872,12.352,0.11743230909644053,1.0,20.785426486464164,24.580503159538967,24.259496321816027,20.02973223292609,9.367128184858977,10.250141723356009,21.451630214912605,18.391227102860995,53.11244565313575,1.0252906949565088,2430.8257575757575,0.0
ordered,pms,0,100,1786590083562097376,13.856,0.13173106175844235,1.0,52.01083873102926,34.40503459513071,36.392782847146705,23.15670653869793,18.624710415583188,4.645820983995258,31.34009922942412,19.29426062298355,70.32321166847902,1.538064790069186,2426.4848484848485,0.0
ordered,pms,0,101,1786590083562098880,15.36,0.14602981442044416,1.0,8.472126166369994,31.18713464132724,18.410222106325325,15.282706545277264,9.107039602725592,23.09398030391965,24.686380667844112,20.149041199924056,43.71690797156494,0.7778612766951195,2530.3257575757575,0.0
ordered,pms,0,102,1786590083562100384,16.864,0.160328567082446,1.0,34.93708297613409,27.138297872340427,23.177384642131322,17.19771952016402,7.344116254114036,25.86689275116575,38.43724777207333,17.315755929019492,55.4482126049866,0.9796991457106565,2391.6742424242425,0.0
ordered,pms,0,103,1786590083562101856,18.336,0.17432309096440524,1.0,27.281201217389352,31.71276595744681,28.921419988095636,22.430174185505876,15.251620003818378,18.015963511972636,37.001434002534516,18.7974603442457,48.1820581067574,1.221604890688835,2555.257575757576,0.0
ordered,pms,0,104,1786590083562103360,19.84,0.18862184362640705,1.0,20.00023663318307,32.47872340425532,23.629598078538557,20.16765461020599,9.524781410097138,7.377197206838431,25.522808179485057,18.238857402932346,53.721944178232114,0.9988059738814602,2423.681818181818,0.0
ordered,pms,0,105,1786590083562104864,21.344,0.2029205962884089,1.0,42.80629828375816,31.02127659574468,34.950791044085676,24.89938474348892,17.44200166535597,7.802084007507605,26.502513901375153,19.038622083571337,70.01434056529584,1.4760659000509788,2481.719696969697,0.0
ordered,pms,0,106,1786590083562106368,22.848,0.2172193489504107,1.0,22.396034938319392,28.26241134751773,26.24216720801988,22.098430917158936,12.57538273391788,11.308965948141205,25.466850118940066,19.041007323872005,55.274687670049424,1.1084985441307587,2557.568181818182,0.0
ordered,pms,0,107,1786590083562107872,24.352,0.23151810161241254,1.0,40.667217853969106,32.62056737588653,31.650243534797916,22.908019212814544,14.199259834193859,6.849496555378909,24.591090425531913,18.829474866347695,68.02888671413628,1.3368651428808993,2551.128787878788,0.0
ordered,pms,0,108,1786590083562109376,25.856,0.24581685427441438,1.0,27.2131156740498,30.69148936170213,27.16289092531383,21.404160517174617,13.911974814673483,12.115466943917804,26.930838606806518,19.245558276454958,56.13555631625318,1.1473370764877557,2556.8560606060605,0.0
ordered,pms,0,109,1786590083562110880,27.36,0.26011560693641617,1.0,38.03872526978417,34.187943262411345,28.337736061151077,21.500674460431654,11.473977068345324,5.959673302705462,24.331164735951138,18.23371350092554,65.81862634892086,1.196896096381252,2552.992424242424,0.0
ordered,pms,0,110,1786590083562112384,28.864,0.27441435959841803,1.0,33.695383925065904,32.4822695035461,30.485725503393347,22.77132761231701,15.97060968085703,9.99285161136594,28.14139499305746,18.990641643160455,61.851477929216436,1.2877149651583937,2558.1136363636365,0.0
ordered,pms,0,111,1786590083562113856,30.336,0.28840888348037724,1.0,32.257484390542714,33.826241134751776,27.491752698988964,21.334517272967396,11.2612891079427,7.192704668074127,26.11662787904889,18.231502242152466,62.67190072890968,1.1613167429811,2552.901515151515,0.0
ordered,pms,0,112,1786590083562115360,31.84,0.30270763614237906,1.0,40.04529712556902,33.26595744680851,34.116537660602724,24.56765661747784,17.687769776096363,8.893515764425937,28.528694697076862,19.190775039542835,67.03244890742435,1.4410251546978352,2556.3030303030305,0.0
ordered,pms,0,113,1786590083562116864,33.344,0.3170063888043809,1.0,27.96905809191567,33.54609929078015,27.851368735639937,22.53006836656162,12.009370207459092,8.679365816830245,26.666528686149515,18.554146928028693,59.66260511990833,1.1765082773943043,2553.962121212121,0.0
ordered,pms,0,114,1786590083562118368,34.848,0.33130514146638274,1.0,42.25239392322597,33.656028368794324,34.339670326584475,24.554772401785964,17.10370391171267,7.840023966446974,28.17112699468085,19.082110521386202,70.32658448232287,1.4503888771930866,2554.9469696969695,0.0
ordered,pms,0,115,1786590083562119872,36.352,0.34560389412838455,1.0,26.74731107383115,32.00709219858156,28.38310956006531,23.403897189602258,12.983712148840548,10.064613772629373,27.188739719900944,18.622287760690963,61.00566119249737,1.198954802929396,2557.151515151515,0.0
ordered,pms,0,116,1786590083562121376,37.856,0.3599026467903864,1.0,43.34287175969912,34.822695035460995,34.17951730690309,24.292629176340956,16.247744227752886,7.219107824427481,28.007404886228738,19.02303915397205,71.48169802728852,1.4436410694780832,2552.3636363636365,0.0
ordered,pms,0,117,1786590083562122880,39.36,0.3742013994523882,1.0,27.246141348497154,29.439716312056742,27.82206784503768,22.55581388834421,13.551920221854955,12.074961360123648,25.622982034936665,19.407791983972253,58.894646908877,1.1752900595798057,2560.8636363636365,0.0
ordered,pms,0,118,1786590083562124384,40.864,0.38850015211439,1.0,42.77329482237381,32.08510638297872,31.569246676182022,21.924274266961866,14.011733105564234,6.30418627693832,24.942097442325732,18.94559685842895,67.21979343440587,1.3335073998029883,2553.3030303030305,0.0
ordered,pms,0,119,1786590083562125856,42.336,0.40249467599634925,1.0,27.62094852574274,47.13475177304965,26.99553153436009,18.534320843682195,13.595460891114088,9.538414687200905,34.055108224383545,19.391782594629568,58.37599026693054,1.140318001640038,2559.068181818182,0.0
ordered,pms,0,120,1786590083562127360,43.84,0.4167934286583511,1.0,30.7228780339874,27.996453900709216,25.781732615996315,19.43885974863253,10.28551211348601,25.767748352604748,39.854231273113214,18.351829292780554,56.503206676176255,1.089011383280603,2554.9166666666665,0.0
ordered,pms,0,121,1786590083562128864,45.344,0.43109218132035293,1.0,28.13076565032329,30.414893617021278,28.743431715072425,23.003718055843738,13.659509082038369,21.70122837141725,38.79078567398015,18.911583750527125,53.39616081292515,1.214141892692171,2558.4848484848485,0.0
ordered,pms,0,122,1786590083562130368,46.848,0.44539093398235474,1.0,30.87978384572606,38.89007092198582,28.81457805539796,23.341628234871166,12.544587436313693,6.797080448666344,30.5978301348097,18.48408760287758,62.69316541306924,1.2171132828140525,2554.280303030303,0.0
ordered,pms,0,123,1786590083562131872,48.352,0.45968968664435655,1.0,31.368682647159467,34.08510638297872,31.35774350804167,24.17381450585945,15.646615318160654,9.824022805767228,30.251985870881082,19.099830156633328,64.02089095080753,1.3245383054662856,2557.689393939394,0.0
ordered,pms,0,124,1786590083562133376,49.856,0.4739884393063584,1.0,40.03801939719319,36.129934132587785,31.498256274323712,23.5102517591693,13.850123829794402,6.782435829971351,27.904977826498584,18.514407729223485,70.59618008951686,1.330467038098994,2554.9469696969695,0.0
ordered,pms,0,125,1786590083562134880,51.36,0.48828719196836023,1.0,34.374807143137666,33.836156059819785,33.118642736519654,25.334238474873906,16.624682312150405,10.22250796667971,29.974773459023467,19.15550203221436,66.23896858747426,1.3990336332368547,2557.219696969697,0.0
ordered,pms,0,126,1786590083562136384,52.864,0.502585944630362,1.0,38.525257630640496,36.608783263201566,31.36495100103895,23.627888692331453,13.802263218487631,7.112768258666819,28.596491228070175,18.583434873621396,68.50504029427456,1.3248017837975674,2554.9848484848485,0.0
ordered,pms,0,127,1786590083562137856,54.336,0.5165804685123213,1.0,35.36513495765209,33.6653503860435,33.22584990486453,25.364405305135072,16.73542238461668,9.867609110288344,30.094857465050328,19.056111559076033,67.87648666700342,1.403486935106733,2556.2954545454545,0.0
ordered,pms,0,128,1786590083562139360,55.84,0.5308792211743232,1.0,37.18441642999068,36.11918690890105,30.905299671085864,23.5942569122484,13.402128399995508,7.4720749181992545,28.608014212068632,18.548593023849648,68.90666921116735,1.305517355842185,2556.121212121212,0.0
ordered,pms,0,129,1786590083562140864,57.344,0.5451779738363249,1.0,36.91020939178807,34.05197282435917,33.50717225755078,25.254870293731706,16.928826979801038,9.864658247918909,30.072277359179473,19.183400137814573,68.29766831533259,1.4153623857828943,2558.590909090909,0.0
ordered,pms,0,130,1786590083562142368,58.848,0.5594767264983267,1.0,30.64641788200478,16.751757218844983,24.530305917697042,18.407748270875608,11.06051094645039,7.118414486347759,22.59211509562561,18.59492727623989,48.06853722241529,1.0361334540741136,2559.9545454545455,0.0
ordered,pms,0,131,1786590083562143872,60.352,0.5737754791603286,1.0,27.952105697770435,39.01101487478818,25.89893100097182,20.299184909306415,12.310622019245354,10.29128292996359,23.399660844213884,18.822692222442576,59.827151339478824,1.0939429710346953,2554.257575757576,0.0
ordered,pms,0,132,1786590083562145376,61.856,0.5880742318223304,1.0,34.36525725071201,35.14020244212126,31.095063954566143,23.287663537752014,14.414915429425282,8.00355077028807,28.62578222778473,18.644558179441898,66.10379907536921,1.3135077415910306,2554.090909090909,0.0
