family_id,family_title,category,batch,evidence_kind,time_basis,kernel_active_union_us,eager_operator_interval_us,kernel_summed_residency_us,non_kernel_interval_us,p10_us,p90_us,modeled_flop,useful_bytes_min
kv_latent_rmsnorm,KV Latent RMSNorm,Attention,100,exact,kernel_active_union,1.92,53.50400134921074,1.92,51.64800009572506,1.568,1.952,,205824.0
kv_latent_rmsnorm,KV Latent RMSNorm,Attention,200,exact,kernel_active_union,1.616,56.71999976038933,1.616,55.15199976038933,1.568,1.952,,410624.0
kv_latent_rmsnorm,KV Latent RMSNorm,Attention,500,exact,kernel_active_union,1.936,55.184001103043556,1.936,53.392001103043555,1.5968,1.952,,1025024.0
index_q_projection,Index Q Projection,Indexer,1,exact,kernel_active_union,7.232,255.72799146175385,7.232,248.51199146175384,6.912,7.536,16777216.0,8402944.0
index_q_projection,Index Q Projection,Indexer,10,exact,kernel_active_union,7.36,262.30400800704956,7.36,255.08800800704955,7.008,7.712,167772160.0,8513536.0
index_q_projection,Index Q Projection,Indexer,20,exact,kernel_active_union,7.616,252.22399830818176,7.616,244.59199830818176,7.260800000000001,8.032,335544320.0,8636416.0
index_q_projection,Index Q Projection,Indexer,100,exact,kernel_active_union,8.256,250.14400482177734,8.256,242.03200482177732,7.872,8.64,1677721600.0,9619456.0
index_q_projection,Index Q Projection,Indexer,200,exact,kernel_active_union,9.136,256.55999779701233,9.136,247.43999779701232,8.8,9.4432,3355443200.0,10848256.0
index_q_projection,Index Q Projection,Indexer,500,exact,kernel_active_union,11.696,253.4240037202835,11.696,241.6960037202835,11.488,12.032,8388608000.0,14534656.0
index_q_hadamard,Index Q Hadamard,Indexer,1,exact,kernel_active_union,1.6640000000000001,95.32799944281578,1.6640000000000001,93.64799944281577,1.472,1.856,,16384.0
index_q_hadamard,Index Q Hadamard,Indexer,10,exact,kernel_active_union,1.52,98.7359993159771,1.52,97.0719993159771,1.472,1.856,,163840.0
index_q_hadamard,Index Q Hadamard,Indexer,20,exact,kernel_active_union,1.824,94.4640003144741,1.824,92.67199970531465,1.6,1.856,,327680.0
index_q_hadamard,Index Q Hadamard,Indexer,100,exact,kernel_active_union,3.008,95.21599858999252,3.008,92.25599858999252,2.912,3.04,,1638400.0
index_q_hadamard,Index Q Hadamard,Indexer,200,exact,kernel_active_union,4.608,94.28799897432327,4.608,89.67999897432327,4.544,4.64,,3276800.0
index_q_hadamard,Index Q Hadamard,Indexer,500,exact,kernel_active_union,9.44,93.28000247478485,9.44,83.82400247478485,9.408,9.536,,8192000.0
index_k_projection,Index K Projection,Indexer,1,exact,kernel_active_union,10.08,218.46400201320648,10.08,208.20800439834596,9.7248,10.432,1572864.0,799168.0
index_k_projection,Index K Projection,Indexer,10,exact,kernel_active_union,10.112,217.0880064368248,10.112,207.0080064368248,9.7248,10.464,15728640.0,912064.0
index_k_projection,Index K Projection,Indexer,20,exact,kernel_active_union,10.08,220.39999812841415,10.08,210.46399812841418,9.728,10.464,31457280.0,1037504.0
index_k_projection,Index K Projection,Indexer,100,exact,kernel_active_union,10.128,218.00000220537186,10.128,207.96799811458587,9.8176,10.464,157286400.0,2041024.0
index_k_projection,Index K Projection,Indexer,200,exact,kernel_active_union,10.848,226.81600600481033,10.848,216.1440060048103,10.5824,11.078399999999998,314572800.0,3295424.0
index_k_projection,Index K Projection,Indexer,500,exact,kernel_active_union,12.032,217.8720012307167,12.032,205.8880012307167,11.776,12.288,786432000.0,7058624.0
index_key_layernorm,Index Key Layernorm,Indexer,1,exact,kernel_active_union,1.664,80.52799850702286,1.664,78.7520011358261,1.6288,1.984,,1536.0
index_key_layernorm,Index Key Layernorm,Indexer,10,exact,kernel_active_union,1.8079999999999998,78.91200110316277,1.8079999999999998,77.10400110316277,1.6,1.984,,6144.0
index_key_layernorm,Index Key Layernorm,Indexer,20,exact,kernel_active_union,1.984,77.82399654388428,1.984,75.90399941635133,1.6,1.984,,11264.0
index_key_layernorm,Index Key Layernorm,Indexer,100,exact,kernel_active_union,1.664,81.07199892401695,1.664,79.26399892401696,1.6288,2.016,,52224.0
index_key_layernorm,Index Key Layernorm,Indexer,200,exact,kernel_active_union,1.936,79.42400127649307,1.936,77.61600103282929,1.6,1.9552,,103424.0
index_key_layernorm,Index Key Layernorm,Indexer,500,exact,kernel_active_union,1.8079999999999998,81.31200075149536,1.8079999999999998,79.50400075149537,1.664,1.9552,,257024.0
index_k_hadamard,Index K Hadamard,Indexer,1,exact,kernel_active_union,1.824,79.21599969267845,1.824,77.69599932718278,1.472,1.856,,512.0
index_k_hadamard,Index K Hadamard,Indexer,10,exact,kernel_active_union,1.6800000000000002,80.9439979493618,1.6800000000000002,79.10400033450127,1.4687999999999999,1.856,,5120.0
index_k_hadamard,Index K Hadamard,Indexer,20,exact,kernel_active_union,1.504,78.14399898052216,1.504,76.65599898052216,1.4687999999999999,1.856,,10240.0
index_k_hadamard,Index K Hadamard,Indexer,100,exact,kernel_active_union,1.84,81.85600116848946,1.84,80.17600116848945,1.472,1.856,,51200.0
index_k_hadamard,Index K Hadamard,Indexer,200,exact,kernel_active_union,1.504,83.8559977710247,1.504,82.12800088715554,1.472,1.856,,102400.0
index_k_hadamard,Index K Hadamard,Indexer,500,exact,kernel_active_union,1.6960000000000002,78.73600348830223,1.6960000000000002,77.20000348830223,1.536,1.856,,256000.0
index_head_gate_projection,Index Head Gate Projection,Indexer,1,exact,kernel_active_union,5.376,81.60000294446945,5.376,76.32000160431862,5.1168000000000005,5.696,393216.0,405568.0
index_head_gate_projection,Index Head Gate Projection,Indexer,10,exact,kernel_active_union,5.872,84.51200276613235,5.872,78.640002035141,5.696,6.0832,3932160.0,516736.0
index_head_gate_projection,Index Head Gate Projection,Indexer,20,exact,kernel_active_union,5.856,84.3840017914772,5.856,78.6400017914772,5.632,6.112,7864320.0,640256.0
index_head_gate_projection,Index Head Gate Projection,Indexer,100,exact,kernel_active_union,6.56,83.74399691820145,6.56,77.26399691820144,6.4,6.752,39321600.0,1628416.0
index_head_gate_projection,Index Head Gate Projection,Indexer,200,exact,kernel_active_union,6.608,86.01599931716919,6.608,79.34399870800972,6.464,6.755199999999999,78643200.0,2863616.0
index_head_gate_projection,Index Head Gate Projection,Indexer,500,exact,kernel_active_union,8.528,85.32800152897835,8.704,76.88000152897834,8.2208,8.7031,196608000.0,6569216.0
dsa_index_candidate_scoring,DSA Index Candidate Scoring,Indexer,1,exact,kernel_active_union,3.648,85.4559987783432,3.648,81.8079987783432,3.264,3.648,33554432.0,561152.0
dsa_index_candidate_scoring,DSA Index Candidate Scoring,Indexer,10,exact,kernel_active_union,3.856,84.3840017914772,3.856,80.67199879717828,3.616,4.0032,335544320.0,5611520.0
dsa_index_candidate_scoring,DSA Index Candidate Scoring,Indexer,20,exact,kernel_active_union,4.064,84.32000130414963,4.064,80.22400093865394,4.032,4.352,671088640.0,11223040.0
dsa_index_candidate_scoring,DSA Index Candidate Scoring,Indexer,100,exact,kernel_active_union,6.784,84.70399677753448,6.784,77.88799677753448,6.656,6.976,3355443200.0,56115200.0
dsa_index_candidate_scoring,DSA Index Candidate Scoring,Indexer,200,exact,kernel_active_union,16.832,82.35200121998787,16.832,65.21600134181976,16.3808,17.4752,6710886400.0,112230400.0
dsa_index_candidate_scoring,DSA Index Candidate Scoring,Indexer,500,exact,kernel_active_union,44.304,97.36000001430511,44.304,53.15200215578079,43.648,45.2512,16777216000.0,280576000.0
dsa_topk_2048,DSA TopK 2048,Indexer,1,exact,kernel_active_union,5.664,52.031999453902245,5.664,46.59199945390225,5.408,5.696,,24576.0
dsa_topk_2048,DSA TopK 2048,Indexer,10,exact,kernel_active_union,6.208,49.00800064206123,6.208,42.76800064206123,6.112,6.304,,245760.0
dsa_topk_2048,DSA TopK 2048,Indexer,20,exact,kernel_active_union,6.464,49.80800114572048,6.464,43.37600138938427,6.368,6.531199999999999,,491520.0
dsa_topk_2048,DSA TopK 2048,Indexer,100,exact,kernel_active_union,6.528,48.928000032901764,6.528,42.400000032901765,6.496,6.56,,2457600.0
dsa_topk_2048,DSA TopK 2048,Indexer,200,exact,kernel_active_union,8.048,51.51999928057194,8.048,43.35999891507626,8.0,8.224,,4915200.0
dsa_topk_2048,DSA TopK 2048,Indexer,500,exact,kernel_active_union,13.312,50.73600076138973,13.312,37.488000761389735,13.152,13.5136,,12288000.0
mla_absorb_q_bmm,MLA Absorb Q BMM,Attention,1,exact,kernel_active_union,2.336,54.14400063455105,2.336,51.72800063455105,2.272,2.496,1572864.0,1584128.0
mla_absorb_q_bmm,MLA Absorb Q BMM,Attention,10,exact,kernel_active_union,2.368,57.552000507712364,2.368,55.13600050771237,2.304,2.528,15728640.0,1685504.0
mla_absorb_q_bmm,MLA Absorb Q BMM,Attention,20,exact,kernel_active_union,2.496,58.6559996008873,2.496,56.223999600887296,2.336,2.528,31457280.0,1798144.0
mla_absorb_q_bmm,MLA Absorb Q BMM,Attention,100,exact,kernel_active_union,2.656,57.72799998521805,2.656,55.10399998521805,2.592,2.6592000000000002,157286400.0,2699264.0
mla_absorb_q_bmm,MLA Absorb Q BMM,Attention,200,exact,kernel_active_union,2.976,60.20800024271011,2.976,57.280000364542005,2.88,3.04,314572800.0,3825664.0
mla_absorb_q_bmm,MLA Absorb Q BMM,Attention,500,exact,kernel_active_union,3.296,58.3840012550354,3.296,55.136001255035396,3.232,3.392,786432000.0,7204864.0
