rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
32,other_kernel,14430,118.116122,8.185455,3.616,10.048,0;1;2;3,set_mla_kv_buffer_kernel,"void <unnamed>::set_mla_kv_buffer_kernel<(long)512, (long)64, (int)8, (bool)1, long>(<unnamed>::SetMlaKVBufferParams)"
33,other_kernel,30920,110.146045,3.562291,1.248,4.768,0;1;2;3,DeviceScanKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
34,elementwise_misc,28700,98.657884,3.437557,2.112,5.056,0;1;2;3,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
35,other_kernel,28885,97.989665,3.392407,1.632,4.928,0;1;2;3,DeviceScanKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<long, long, long, unsigned int, std::plus<long>>::Policy1000, const long *, long *, at_cuda_detail::cub::ScanTileState<long, (bool)1>, std::plus<long>, at_cuda_detail::cub::NullType, unsigned int, long, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
36,quant_rope_norm,3885,81.843555,21.066552,7.2,22.752,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16oi64128i64div41_tensorptrbf16gmemalign16oi64128i64div41_tensorptrf32gmemalign16o1281_0,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16oi64128i64div41_tensorptrbf16gmemalign16oi64128i64div41_tensorptrf32gmemalign16o1281_0
37,other_kernel,28700,79.693943,2.776792,1.6,3.744,0;1;2;3,compute_cuda_kernel,"void compute_cuda_kernel<int>(const T1 *, const long *, T1 *, long, long)"
38,tensor_core_gemm,1008,75.76323,75.161935,72.96,77.761,0;1;2;3,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT
39,other_kernel,3885,68.00992,17.505771,7.328,21.152,0;1;2;3,_get_k_and_s_triton_kernel,_get_k_and_s_triton_kernel
40,other_kernel,740,60.24726,81.415216,48.736,149.505,0;1;2;3,write_req_to_token_pool_triton,write_req_to_token_pool_triton
41,other_kernel,30920,56.912463,1.840636,0.832,2.72,0;1;2;3,DeviceScanInitKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>>(T1, int)"
42,elementwise_misc,14430,56.759691,3.933451,1.888,4.992,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
43,tensor_core_gemm,185,53.513647,289.262957,285.922,294.114,3,nvjet_sm103_tst_192x8_64x8_2x1_v_bz_splitK_TNT,nvjet_sm103_tst_192x8_64x8_2x1_v_bz_splitK_TNT
44,elementwise_misc,3885,44.831649,11.539678,4.384,12.544,0;1;2;3,fused_store_indexer_cache,"void <unnamed>::fused_store_indexer_cache<__nv_bfloat16, long, (unsigned int)6, (bool)1>(<unnamed>::FusedStoreCacheParam)"
45,other_kernel,28885,43.165421,1.494389,0.832,2.048,0;1;2;3,DeviceScanInitKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<long, (bool)1>>(T1, int)"
46,other_kernel,2400,29.409469,12.253945,8.608,31.968,0;1;2;3,DeviceRadixSortSingleTileKernel,"void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::detail::radix::policy_hub<int, at_cuda_detail::cub::NullType, unsigned long long>::Policy1000, (at_cuda_detail::cub::SortOrder)0, int, at_cuda_detail::cub::NullType, unsigned long long, at_cuda_detail::cub::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
47,elementwise_misc,15407,28.301901,1.836951,1.088,2.56,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
