elapsed_seconds,sampled_at_utc,dp_rank,running_requests,scrape_group
57.184461248,2026-08-24T07:39:36.199Z,6,3,decode-pod-2
57.184461248,2026-08-24T07:39:36.199Z,7,3,decode-pod-2
58.124461248,2026-08-24T07:39:37.139Z,0,4,decode-pod-1
58.124461248,2026-08-24T07:39:37.139Z,1,2,decode-pod-1
58.124461248,2026-08-24T07:39:37.139Z,2,2,decode-pod-1
58.124461248,2026-08-24T07:39:37.139Z,3,4,decode-pod-1
62.184461248,2026-08-24T07:39:41.199Z,4,3,decode-pod-2
62.184461248,2026-08-24T07:39:41.199Z,5,3,decode-pod-2
62.184461248,2026-08-24T07:39:41.199Z,6,2,decode-pod-2
62.184461248,2026-08-24T07:39:41.199Z,7,3,decode-pod-2
63.124461248,2026-08-24T07:39:42.139Z,0,5,decode-pod-1
63.124461248,2026-08-24T07:39:42.139Z,1,2,decode-pod-1
63.124461248,2026-08-24T07:39:42.139Z,2,2,decode-pod-1
63.124461248,2026-08-24T07:39:42.139Z,3,3,decode-pod-1
67.184461248,2026-08-24T07:39:46.199Z,4,2,decode-pod-2
67.184461248,2026-08-24T07:39:46.199Z,5,2,decode-pod-2
67.184461248,2026-08-24T07:39:46.199Z,6,4,decode-pod-2
67.184461248,2026-08-24T07:39:46.199Z,7,3,decode-pod-2
68.124461248,2026-08-24T07:39:47.139Z,0,5,decode-pod-1
68.124461248,2026-08-24T07:39:47.139Z,1,1,decode-pod-1
68.124461248,2026-08-24T07:39:47.139Z,2,1,decode-pod-1
68.124461248,2026-08-24T07:39:47.139Z,3,1,decode-pod-1
72.184461248,2026-08-24T07:39:51.199Z,4,2,decode-pod-2
72.184461248,2026-08-24T07:39:51.199Z,5,3,decode-pod-2
72.184461248,2026-08-24T07:39:51.199Z,6,6,decode-pod-2
72.184461248,2026-08-24T07:39:51.199Z,7,5,decode-pod-2
73.124461248,2026-08-24T07:39:52.139Z,0,7,decode-pod-1
73.124461248,2026-08-24T07:39:52.139Z,1,1,decode-pod-1
73.124461248,2026-08-24T07:39:52.139Z,2,6,decode-pod-1
73.124461248,2026-08-24T07:39:52.139Z,3,5,decode-pod-1
77.184461248,2026-08-24T07:39:56.199Z,4,4,decode-pod-2
77.184461248,2026-08-24T07:39:56.199Z,5,3,decode-pod-2
77.184461248,2026-08-24T07:39:56.199Z,6,7,decode-pod-2
77.184461248,2026-08-24T07:39:56.199Z,7,10,decode-pod-2
78.124461248,2026-08-24T07:39:57.139Z,0,5,decode-pod-1
78.124461248,2026-08-24T07:39:57.139Z,1,3,decode-pod-1
78.124461248,2026-08-24T07:39:57.139Z,2,5,decode-pod-1
78.124461248,2026-08-24T07:39:57.139Z,3,6,decode-pod-1
82.184461248,2026-08-24T07:40:01.199Z,4,7,decode-pod-2
82.184461248,2026-08-24T07:40:01.199Z,5,4,decode-pod-2
82.184461248,2026-08-24T07:40:01.199Z,6,6,decode-pod-2
82.184461248,2026-08-24T07:40:01.199Z,7,9,decode-pod-2
83.124461248,2026-08-24T07:40:02.139Z,0,4,decode-pod-1
83.124461248,2026-08-24T07:40:02.139Z,1,5,decode-pod-1
83.124461248,2026-08-24T07:40:02.139Z,2,5,decode-pod-1
83.124461248,2026-08-24T07:40:02.139Z,3,4,decode-pod-1
87.184461248,2026-08-24T07:40:06.199Z,4,10,decode-pod-2
87.184461248,2026-08-24T07:40:06.199Z,5,9,decode-pod-2
87.184461248,2026-08-24T07:40:06.199Z,6,5,decode-pod-2
87.184461248,2026-08-24T07:40:06.199Z,7,9,decode-pod-2
88.124461248,2026-08-24T07:40:07.139Z,0,5,decode-pod-1
88.124461248,2026-08-24T07:40:07.139Z,1,6,decode-pod-1
88.124461248,2026-08-24T07:40:07.139Z,2,4,decode-pod-1
88.124461248,2026-08-24T07:40:07.139Z,3,10,decode-pod-1
92.184461248,2026-08-24T07:40:11.199Z,4,11,decode-pod-2
92.184461248,2026-08-24T07:40:11.199Z,5,8,decode-pod-2
92.184461248,2026-08-24T07:40:11.199Z,6,6,decode-pod-2
92.184461248,2026-08-24T07:40:11.199Z,7,9,decode-pod-2
93.124461248,2026-08-24T07:40:12.139Z,0,4,decode-pod-1
93.124461248,2026-08-24T07:40:12.139Z,1,5,decode-pod-1
93.124461248,2026-08-24T07:40:12.139Z,2,1,decode-pod-1
93.124461248,2026-08-24T07:40:12.139Z,3,12,decode-pod-1
97.184461248,2026-08-24T07:40:16.199Z,4,11,decode-pod-2
97.184461248,2026-08-24T07:40:16.199Z,5,7,decode-pod-2
97.184461248,2026-08-24T07:40:16.199Z,6,4,decode-pod-2
97.184461248,2026-08-24T07:40:16.199Z,7,9,decode-pod-2
98.124461248,2026-08-24T07:40:17.139Z,0,4,decode-pod-1
98.124461248,2026-08-24T07:40:17.139Z,1,6,decode-pod-1
98.124461248,2026-08-24T07:40:17.139Z,2,3,decode-pod-1
98.124461248,2026-08-24T07:40:17.139Z,3,12,decode-pod-1
102.184461248,2026-08-24T07:40:21.199Z,4,10,decode-pod-2
102.184461248,2026-08-24T07:40:21.199Z,5,5,decode-pod-2
102.184461248,2026-08-24T07:40:21.199Z,6,3,decode-pod-2
102.184461248,2026-08-24T07:40:21.199Z,7,7,decode-pod-2
103.124461248,2026-08-24T07:40:22.139Z,0,4,decode-pod-1
103.124461248,2026-08-24T07:40:22.139Z,1,9,decode-pod-1
103.124461248,2026-08-24T07:40:22.139Z,2,12,decode-pod-1
103.124461248,2026-08-24T07:40:22.139Z,3,12,decode-pod-1
107.184461248,2026-08-24T07:40:26.199Z,4,8,decode-pod-2
107.184461248,2026-08-24T07:40:26.199Z,5,3,decode-pod-2
