ordinal,prompt_tokens,cached_tokens,uncached_prompt_tokens,completion_tokens,source_output_token_limit,finish_reason,client_ttft_ms,client_decode_interval_ms,client_tpot_ms,client_total_ms,output_delta_events,cache_hit_ratio,response_id_consistent,record_valid,cancellation_reason
768,155544,154304,1240,1205,80000,tool_calls,"2,901.781066","15,288.854164",12.698384,"18,194.223735",324,0.992027979,true,true,
769,19036,18304,732,29,80000,tool_calls,"3,307.103588",0.000000,0.000000,"3,307.119236",1,0.961546543,true,true,
770,48132,34624,13508,91,80000,tool_calls,"2,533.551375","1,382.409248",15.360103,"3,917.454041",14,0.719355107,true,true,
771,852,832,20,95,128000,tool_calls,"3,833.597723",0.000000,0.000000,"3,836.945202",1,0.976525822,true,true,
772,26800,24128,2672,4620,128000,stop,"2,500.974321","63,895.011926",13.833083,"66,397.364679",1688,0.900298507,true,true,
773,19076,18304,772,28,80000,stop,"2,521.727134",736.957178,27.294710,"3,261.814893",19,0.959530300,true,true,
774,160,0,160,894,128000,stop,"2,045.080508","10,826.934120",12.124226,"12,874.908248",264,0.000000000,true,true,
775,55283,55040,243,90,80000,tool_calls,"7,360.315296",0.000000,0.000000,"7,404.541103",1,0.995604435,true,true,
776,175281,0,175281,3201,128000,stop,"6,010.294622","51,135.502551",15.979845,"57,148.107316",1343,0.000000000,true,true,
777,32097,30656,1441,300,80000,stop,"6,024.726560","6,280.771771",21.005926,"12,306.260704",151,0.955104838,true,true,
778,97105,77568,19537,663,80000,tool_calls,"5,484.688461","5,655.222844",8.542633,"11,153.769896",128,0.798805417,true,true,
779,97751,95936,1815,1766,80000,tool_calls,"5,541.675858","17,724.683750",10.042314,"23,269.990097",19,0.981432415,true,true,
780,26611,15552,11059,2879,128000,stop,"4,706.160533","43,984.818149",15.283120,"48,692.621689",1145,0.584419977,true,true,
781,17,0,17,303,128000,stop,"4,536.258602","5,483.570468",18.157518,"10,077.577722",127,0.000000000,true,true,
782,16664,0,16664,5343,128000,stop,"5,196.689206","47,577.909122",8.906385,"52,776.099512",1250,0.000000000,true,true,
783,34871,33920,951,111,80000,tool_calls,"5,191.041680","1,742.067841",15.836980,"6,933.580404",17,0.972728055,true,true,
784,1388,0,1388,1829,128000,stop,"5,152.972299","31,313.782146",17.130078,"36,467.011437",803,0.000000000,true,true,
785,21060,832,20228,3118,128000,stop,"5,564.894194","45,600.344110",14.629562,"51,165.265696",1179,0.039506173,true,true,
786,273745,273472,273,5622,80000,tool_calls,"5,360.639803","52,512.132930",9.342134,"57,913.833073",13,0.999002722,true,true,
787,244069,241408,2661,1913,80000,tool_calls,"5,574.291314","18,993.563516",9.933872,"24,571.362150",24,0.989097345,true,true,
788,95788,77568,18220,658,80000,tool_calls,"5,409.064230","10,353.452988",15.758680,"15,804.185343",250,0.809788282,true,true,
789,3059,3008,51,1712,128000,stop,"5,075.706202","29,892.002349",17.470486,"34,969.871078",764,0.983327885,true,true,
790,156932,155520,1412,1177,80000,tool_calls,"5,413.197411","14,121.134514",12.007767,"19,536.948199",336,0.991002472,true,true,
791,2821,0,2821,1539,128000,stop,"5,352.172769","28,159.618222",18.309245,"33,553.002723",721,0.000000000,true,true,
792,35903,33920,1983,108,80000,tool_calls,"5,349.743056","1,902.786957",17.783056,"7,297.370673",19,0.944767847,true,true,
793,55559,55040,519,236,80000,tool_calls,"5,298.997395","4,346.286676",18.494837,"9,689.611703",82,0.990658579,true,true,
794,11483,10560,923,366,128000,tool_calls,"9,203.356980",0.000000,0.000000,"9,248.194311",1,0.919620308,true,true,
795,23172,20544,2628,1972,128000,stop,"4,048.935870","31,405.353809",15.933716,"35,502.883041",811,0.886587260,true,true,
796,158119,155520,2599,1139,80000,tool_calls,"3,247.000936","15,385.329513",13.519622,"18,639.571906",368,0.983563013,true,true,
797,95612,78912,16700,664,80000,tool_calls,"2,811.837698","9,339.310807",14.086442,"12,152.624707",223,0.825335732,true,true,
798,63503,62272,1231,275,80000,tool_calls,"2,727.946660","3,899.471070",14.231646,"6,627.433634",59,0.980615089,true,true,
799,24718,0,24718,1824,128000,stop,"2,560.665321","23,199.917107",12.726230,"25,804.433135",595,0.000000000,true,true,
800,5504,4864,640,1220,128000,stop,"2,267.639601","17,147.142768",14.066565,"19,416.109194",435,0.883720930,true,true,
